"","gene","TCGA","AUS","CA","TCGA2","AUS2","CA2","sum","abs"
"11617","ENSG00000186187",-0.154750383616289,-0.0303797838714281,-0.112377247506934,-1,-1,-1,-3,3
"11639","ENSG00000186395",-0.0666032296630172,-0.166114041846428,-0.0835366435263483,-1,-1,-1,-3,3
"11649","ENSG00000186470",0.0305536903428569,0.243297441692857,0.172886718482588,1,1,1,3,3
"11652","ENSG00000186496",0.175485889576502,0.213596669232143,0.0544491371590139,1,1,1,3,3
"11654","ENSG00000186517",0.129341514808011,0.0710271157714288,0.00138604382835172,1,1,1,3,3
"11658","ENSG00000186532",0.0476354610355143,0.0608605032999998,0.0167281163161785,1,1,1,3,3
"11660","ENSG00000186566",0.10421996022697,0.155281573042857,0.00650002435716601,1,1,1,3,3
"11669","ENSG00000186642",0.163181190185848,0.136090884328572,0.305381326128197,1,1,1,3,3
"11682","ENSG00000186792",-0.0601332083853139,-0.0709460442857142,-0.225233937763945,-1,-1,-1,-3,3
"11684","ENSG00000186812",0.165122807876101,0.254217641957143,0.0845836369981505,1,1,1,3,3
"11685","ENSG00000186814",0.1144742868,0.254737256332143,0.0117336831377504,1,1,1,3,3
"11706","ENSG00000187051",-0.105161391645127,-0.0453985480250001,-0.0360389191297381,-1,-1,-1,-3,3
"11712","ENSG00000187105",0.455804756216555,0.65335575215,0.0146623488342064,1,1,1,3,3
"11713","ENSG00000187109",-0.0846362583532709,-0.053463848560714,-0.0604711597359007,-1,-1,-1,-3,3
"11716","ENSG00000187134",0.0294079029236318,0.338284588496428,0.0679960618591675,1,1,1,3,3
"11718","ENSG00000187164",0.0194589120779707,0.078710422975,0.053032589641294,1,1,1,3,3
"11722","ENSG00000187210",-0.13110739510227,-0.439093663385714,-0.14701638199168,-1,-1,-1,-3,3
"11734","ENSG00000187391",-0.100376237655274,-0.0532957772000007,-0.101879181204314,-1,-1,-1,-3,3
"11735","ENSG00000187446",-0.114811262195994,-0.0428023615178574,-0.0108977222727278,-1,-1,-1,-3,3
"11751","ENSG00000187607",0.0644182575778371,0.0532833519714284,0.0823667119399079,1,1,1,3,3
"11756","ENSG00000187627",0.303000068319093,0.528401818942857,0.144963078422804,1,1,1,3,3
"11772","ENSG00000187764",0.043897573163151,0.172231368957143,0.104246355436672,1,1,1,3,3
"11776","ENSG00000187792",0.103149548551135,0.115319219360714,0.0604842894486906,1,1,1,3,3
"11778","ENSG00000187800",0.0747099296261684,0.394414851407142,0.0378532251377504,1,1,1,3,3
"11779","ENSG00000187801",-0.124733749496395,-0.166457116710714,-0.167757752440678,-1,-1,-1,-3,3
"11780","ENSG00000187815",-0.0608603478448599,-0.182315923046429,-0.131737090328198,-1,-1,-1,-3,3
"11781","ENSG00000187824",0.0531317739831776,0.257390728439286,0.362690002976271,1,1,1,3,3
"11784","ENSG00000187860",0.019670197645127,0.279964184675,0.0985037977984593,1,1,1,3,3
"11797","ENSG00000188010",-0.0377680419965287,-0.111315521907143,-0.0591124816841293,-1,-1,-1,-3,3
"11799","ENSG00000188026",-0.00701607970066753,-0.134464601732143,-0.1783540098151,-1,-1,-1,-3,3
"11807","ENSG00000188107",0.205331955572764,0.308439236614285,0.0925817187491518,1,1,1,3,3
"11809","ENSG00000188130",-0.0662103829246994,-0.152993947739286,-0.013696437764561,-1,-1,-1,-3,3
